model,seed,fold,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
resnet50,42,1,0.9522727272727273,0.9482585167035383,0.9357706865870171,0.9415733798567354,0.951960364986553,0.9522727272727273,0.9517707512708073
resnet50,42,2,0.9528409090909091,0.9481918763419566,0.9436638826597673,0.9458261958147601,0.9528054159378487,0.9528409090909091,0.9527141032562059
resnet50,42,3,0.9528140989198408,0.9524565805065917,0.9326331408478146,0.9416087424086006,0.953083369242078,0.9528140989198408,0.9524895476472632
resnet50,42,4,0.9471290505969301,0.9412648768912822,0.9329959178668805,0.9368380198965476,0.9469769270340335,0.9471290505969301,0.9467579833191382
resnet50,42,5,0.961910176236498,0.9490389142259767,0.9593054156218749,0.9538264704050522,0.9624316566068687,0.961910176236498,0.9620136411291025
resnet18,42,1,0.9369318181818181,0.9244209175974505,0.9254762311979325,0.9245640433599016,0.93660059234427,0.9369318181818181,0.9364003716034633
resnet18,42,2,0.9392045454545455,0.9222448640841407,0.9378298079250702,0.9293132954552026,0.9401635486008442,0.9392045454545455,0.9393467183478139
resnet18,42,3,0.9448550312677658,0.9411662232186915,0.92768862344156,0.9339719785308727,0.9447733432676286,0.9448550312677658,0.9445036437010839
resnet18,42,4,0.9442865264354747,0.9417559835886385,0.9282447564029226,0.9345517098161922,0.9441335260497081,0.9442865264354747,0.9439135621663604
resnet18,42,5,0.9636156907333713,0.9613588180154498,0.9498336689637099,0.9551833900534112,0.9638928593386387,0.9636156907333713,0.9635625880646724
